"勞保投保日數","11100,勞工","11100,單位","12540,勞工","12540,單位","13500,勞工","13500,單位","15840,勞工","15840,單位","16500,勞工","16500,單位","17280,勞工","17280,單位","17880,勞工","17880,單位","19047,勞工","19047,單位","20008,勞工","20008,單位","21009,勞工","21009,單位","22000,勞工","22000,單位","23100,勞工","23100,單位","24000,勞工","24000,單位","25250,勞工","25250,單位","26400,勞工","26400,單位","27470,勞工","27470,單位","27600,勞工","27600,單位","28800,勞工","28800,單位","30300,勞工","30300,單位","31800,勞工","31800,單位","33300,勞工","33300,單位","34800,勞工","34800,單位","36300,勞工","36300,單位","38200,勞工","38200,單位","40100,勞工","40100,單位","42000,勞工","42000,單位","43900,勞工","43900,單位","45800,勞工","45800,單位"
21,187,652,211,737,227,794,266,932,277,970,290,"1,016",300,"1,052",320,"1,120",336,"1,176",353,"1,235",370,"1,294",388,"1,358",404,"1,412",424,"1,485",444,"1,552",461,"1,616",464,"1,623",484,"1,693",509,"1,781",535,"1,870",560,"1,958",585,"2,047",610,"2,135",641,"2,246",674,"2,357",706,"2,470",737,"2,581",769,"2,693"
22,195,684,220,772,238,831,279,975,290,"1,017",304,"1,065",314,"1,102",335,"1,174",352,"1,233",370,"1,294",387,"1,355",407,"1,423",422,"1,478",444,"1,556",465,"1,627",483,"1,692",485,"1,700",507,"1,774",533,"1,867",560,"1,959",586,"2,051",612,"2,144",639,"2,236",672,"2,353",706,"2,470",740,"2,588",772,"2,704",806,"2,821"
23,204,715,231,807,249,869,291,"1,020",303,"1,063",317,"1,113",329,"1,152",350,"1,226",368,"1,288",386,"1,353",405,"1,417",425,"1,488",442,"1,546",465,"1,627",485,"1,700",505,"1,769",508,"1,777",530,"1,855",557,"1,952",585,"2,048",613,"2,145",640,"2,241",668,"2,338",703,"2,460",737,"2,582",772,"2,704",807,"2,828",842,"2,950"
24,213,746,241,842,260,908,304,"1,065",316,"1,108",332,"1,161",344,"1,201",365,"1,280",384,"1,344",404,"1,412",422,"1,478",444,"1,552",460,"1,612",484,"1,696",507,"1,774",527,"1,846",530,"1,855",553,"1,935",581,"2,036",611,"2,137",639,"2,237",668,"2,339",697,"2,439",733,"2,567",770,"2,695",806,"2,822",843,"2,950",879,"3,077"
25,223,777,251,878,271,945,316,"1,108",331,"1,155",346,"1,210",358,"1,251",381,"1,333",400,"1,401",420,"1,471",440,"1,540",463,"1,617",480,"1,680",505,"1,767",528,"1,848",550,"1,923",552,"1,932",576,"2,016",607,"2,121",636,"2,227",667,"2,331",696,"2,436",727,"2,541",764,"2,674",802,"2,807",840,"2,940",878,"3,073",916,"3,206"
26,231,808,261,913,280,983,329,"1,153",344,"1,201",359,"1,258",372,"1,301",396,"1,387",416,"1,456",437,"1,529",457,"1,601",480,"1,682",500,"1,748",525,"1,838",549,"1,922",572,"2,000",574,"2,009",599,"2,097",631,"2,206",661,"2,315",693,"2,424",724,"2,533",755,"2,642",794,"2,781",835,"2,919",874,"3,058",913,"3,196",952,"3,334"
27,240,839,271,948,291,"1,021",343,"1,198",357,"1,247",373,"1,307",386,"1,352",411,"1,440",432,"1,513",454,"1,588",476,"1,664",499,"1,747",518,"1,814",545,"1,909",571,"1,996",593,"2,077",596,"2,087",622,"2,177",655,"2,291",687,"2,404",719,"2,518",752,"2,631",784,"2,745",825,"2,888",866,"3,032",908,"3,176",948,"3,319",989,"3,463"
28,249,871,280,983,302,"1,058",355,"1,241",370,"1,294",387,"1,355",400,"1,402",427,"1,493",448,"1,569",470,"1,647",493,"1,725",517,"1,811",538,"1,882",565,"1,980",591,"2,069",615,"2,153",619,"2,164",645,"2,258",679,"2,376",712,"2,493",746,"2,611",780,"2,728",813,"2,846",855,"2,995",898,"3,144",940,"3,292",983,"3,442","1,025","3,590"
29,257,901,291,"1,018",313,"1,096",368,"1,286",383,"1,340",400,"1,403",415,"1,452",442,"1,547",465,"1,624",488,"1,706",511,"1,787",536,"1,875",556,"1,948",586,"2,050",612,"2,144",637,"2,231",640,"2,241",668,"2,339",703,"2,460",737,"2,582",772,"2,704",807,"2,825",842,"2,948",886,"3,101",931,"3,256",974,"3,410","1,019","3,565","1,063","3,719"
30,266,933,301,"1,054",324,"1,135",380,"1,331",396,"1,387",415,"1,452",429,"1,502",457,"1,600",480,"1,681",504,"1,765",528,"1,848",554,"1,941",576,"2,016",607,"2,121",634,"2,218",659,"2,307",662,"2,318",692,"2,420",728,"2,545",764,"2,672",800,"2,797",836,"2,924",872,"3,049",916,"3,208",962,"3,369","1,008","3,528","1,054","3,687","1,100","3,848"
